date,kind,level,close,rationale
2024-02-05,BOT,major,0.709,恐慌杀跌收长下影(最低0.666)后放量V型反转,全周期大底
2024-03-18,TOP,minor,0.864,反弹高点滞涨(自0.709累计+22%),随后阴跌-12%
2024-04-23,BOT,minor,0.763,3-4月阴跌末端缩量企稳,随后弱反弹
2024-05-09,TOP,minor,0.815,反弹高点后进入两月阴跌通道
2024-07-04,BOT,minor,0.723,6-7月阴跌末端(0.815→0.723,-11%),缩量止跌
2024-07-22,TOP,minor,0.787,短暂反弹高点,随后阴跌至9月
2024-09-23,BOT,major,0.674,长期下跌终极底部,9/24政策行情启动点
2024-10-09,TOP,major,1.096,天量(约2.5亿手)长上影反转,冲高1.202后崩盘,历史大顶
2024-10-16,BOT,minor,0.923,急跌后长下影企稳,10/18放量长阳确认
2024-11-11,TOP,minor,1.130,反弹至前高下方形成双头,随后-11%
2024-11-26,BOT,minor,1.002,双头后回落低点,快速V型收复
2024-12-26,TOP,minor,1.081,年底反弹高点,元旦后放量破位
2025-01-06,BOT,minor,0.989,开年回调低点,随后开启春季行情
2025-02-27,TOP,minor,1.185,春季行情加速赶顶(高点1.20),放量滞涨后回落
2025-03-06,TOP,minor,1.181,反抽前高下方确认双头,随后破位下行
2025-04-07,BOT,major,0.970,关税恐慌单日暴跌(最低0.92)长下影+巨量,V型反转大底
2025-05-07,TOP,minor,1.081,修复反弹高点,随后阴跌至6月
2025-06-20,BOT,minor,1.006,缩量阴跌末端企稳,开启夏季主升
2025-08-28,TOP,minor,1.433,加速赶顶(8/22、8/28两日巨量暴涨),9/4单日-6.2%崩塌
2025-09-04,BOT,minor,1.282,急跌低点(最低1.26)快速收复,重回升势
2025-10-09,TOP,minor,1.618,节后冲高1.667后放量长上影,次日-5.6%
2025-10-17,BOT,minor,1.433,急跌回踩后企稳反弹
2025-10-29,TOP,minor,1.565,反弹高点后再度回落
2025-11-21,BOT,minor,1.351,震荡下行末端低点,随后慢牛爬升
2026-01-27,TOP,minor,1.640,慢牛阶段高点,随后约-19%回调
2026-02-27,TOP,minor,1.566,反弹次高点未能收复前高,随后破位
2026-04-03,BOT,minor,1.324,3/23与4/3双底,4/8放量+7.6%长阳确认
2026-05-25,TOP,minor,1.998,主升途中高点,6/8急跌洗盘-9.8%
2026-06-08,BOT,minor,1.683,洗盘低点后再度加速上攻
2026-07-01,TOP,major,2.290,牛市终极大顶:冲高2.39长上影,次日-7.5%,随后崩盘约-31%
2026-07-10,TOP,minor,2.209,崩盘中死猫反弹高点(冲高2.386回落),下跌中继
2026-08-03,BOT,minor,1.636,放量恐慌后企稳反弹,尚待确认
